FECDETALLE,CODIGO_SAP,TALLA,COLORES,MODELO,TIPO,PROM_FLG_DEPARTAMENTO_1_4_U3M_M2,TOT_PRECIO_CDESC_M0,TOT_PRECIO_M0,PROM_FLG_SUBCANAL_1_1_U3M_M1,PROM_FLG_DEPARTAMENTO_1_4_U3M_M1,PROM_FLG_SUBCANAL_1_1_U3M_M2,CLASS
201807,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,137.6666667,146.62512,147.13712,52,102.2666667,39,105
201808,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,102.2666667,163.6438,165.4998,55,47.2,52,94
201809,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,47.2,12.63,12.63,56,41.3,55,1
201501,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,,99.37857,97,,,,73
201502,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,,66.95784,65.29,,,,58
201503,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,,166.32654,158.37,,,,246
201504,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,,227.79364,224.88,,,,497
201505,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,,233.33032,251.54,22,38.8151,,289
201506,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,38.8151,289.422,301.62,16,46.35755,22,430
201507,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,46.35755,390.90102,409.14,52,187.7050333,16,558
201508,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,187.7050333,411.5924,442.21,94,295.5050333,52,405
201509,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,295.5050333,453.1442,477.71,117,392.3383667,94,415
201510,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,392.3383667,259.5702,268.16,115,370.5383667,117,382
201511,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,370.5383667,280.06794,317.91,138,570.2,115,599
201512,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,570.2,237.77049,274.24,159,586.8,138,674
201601,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,586.8,53.266,55.83,207,685.3383667,159,154
201602,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,685.3383667,77.008,79.14,177,516.1383667,207,152
201603,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,516.1383667,108.674,113.37,158,417.1383667,177,197
201604,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,417.1383667,272.42,286.48,92,279,158,312
201605,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,279,291.14594,312.97294,69,192.6,92,159
201606,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,192.6,410.5618,417.1698,58,262.8,69,742
201607,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,262.8,293.9748,298.9898,87,210.6,58,476
201608,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,210.6,261.3306,264.4576,136,329.9666667,87,312
201609,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,329.9666667,272.4817,276.2577,146,268.6666667,136,585
201610,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,268.6666667,323.33918,327.23318,136,367.0666667,146,430
201611,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,367.0666667,427.49596,432.03896,85,383.5,136,414
201612,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,383.5,225.9464,230.1944,107,507.4,85,495
201701,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,507.4,66.258,66.73,131,590,107,98
201702,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,590,109.917,112.1,156,517.2333333,131,340
201703,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,517.2333333,57.112,59,156,483.8,156,86
201704,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,483.8,188.28568,189.70168,116,375.6333333,156,213
201705,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,375.6333333,509.2645,515.8135,95,346.1333333,116,597
201706,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,346.1333333,287.7454,294.8254,80,355.9666667,95,569
201707,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,355.9666667,435.27731,439.82031,63,275.3333333,80,866
201708,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,275.3333333,355.80457,362.23557,76,253.7,63,598
201709,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,253.7,342.68582,347.70082,95,334.3333333,76,431
201710,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,334.3333333,334.97157,339.51457,115,383.5,95,687
201711,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,383.5,337.55737,341.33337,153,513.3,115,555
201712,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,513.3,330.30217,335.08117,166,544.7666667,153,984
201801,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,544.7666667,129.0122,131.3722,178,546.7333333,166,330
201802,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,546.7333333,127.578,130.41,192,660.8,178,389
201803,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,660.8,276.9976,280.5966,189,643.1,192,1078
201804,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,643.1,170.6568,171.4488,230,743.4,189,168
201805,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,743.4,247.541,247.541,168,479.8666667,230,203
201806,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,479.8666667,387.45777,388.99377,122,326.4666667,168,1116
201807,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,326.4666667,288.20646,289.55046,122,322.5333333,122,350
201808,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,322.5333333,329.628,333.02,126,286.8333333,122,730
201809,10CLPY-1900LL0-SC004,L,GRAFITO,PTY,SPT,286.8333333,59.3172,59.3172,158,507.1666667,126,14
201501,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,,692.52917,637.3,,,,1137
201502,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,,599.06426,534.72,,,,769
201503,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,,803.41424,727.67,,,,1959
201504,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,,1158.48619,1092.346,,,,2317
201505,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,,2067.78616,2301.08346,373,1058.4,,1676
201506,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1058.4,3053.72962,3333.232,364,925.90755,373,3543
201507,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,925.90755,3199.05252,3482.10216,441,1233.038367,364,4307
201508,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1233.038367,3266.31937,3566.74445,499,1296.738367,441,3073
201509,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1296.738367,3035.54738,3253.03,499,1234.466667,499,4592
201510,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1234.466667,3223.03496,3470.2322,555,1142.5,499,4668
201511,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1142.5,3324.32081,3833.65,684,1563.876733,555,6059
201512,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1563.876733,2775.3808,3504.98,823,1763.076733,684,11083
201601,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1763.076733,586.2922,640.41,904,1912.0151,823,1088
201602,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1912.0151,566.79828,594.27,824,1713.73238,904,846
201603,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1713.73238,636.77456,670.29,960,1902.73238,824,725
201604,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1902.73238,1184.006,1256.22,922,2154.73238,960,3710
201605,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,2154.73238,2466.701,2711.91,775,1903.938367,922,1947
201606,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1903.938367,3223.5584,3239.0754,462,1632.138367,775,4346
201607,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1632.138367,2976.85556,2998.15456,282,860.4,462,5110
201608,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,860.4,2389.151,2405.73,785,1174.3,282,3443
